rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.29,0.22,95.22
2,2,Bayern Munich,German Bundesliga,3.22,0.36,93.3
3,3,Liverpool,Barclays Premier League,2.92,0.27,92.78
4,4,Paris Saint-Germain,French Ligue 1,2.75,0.41,89.51
5,5,Barcelona,Spanish Primera Division,2.8,0.49,88.64
6,6,Juventus,Italy Serie A,2.59,0.45,87.41
7,7,Chelsea,Barclays Premier League,2.51,0.52,85.47
8,8,Real Madrid,Spanish Primera Division,2.59,0.57,85.25
9,9,Atletico Madrid,Spanish Primera Division,2.18,0.35,85.16
10,10,Borussia Dortmund,German Bundesliga,2.53,0.59,84.26
11,11,Ajax,Dutch Eredivisie,2.98,0.85,84.18
12,12,FC Salzburg,Austrian T-Mobile Bundesliga,3.15,0.96,84.09
13,13,Napoli,Italy Serie A,2.39,0.61,82.23
14,14,RB Leipzig,German Bundesliga,2.32,0.59,81.81
15,15,Manchester United,Barclays Premier League,2.09,0.49,80.99
16,16,Bayer Leverkusen,German Bundesliga,2.29,0.62,80.69
17,17,Arsenal,Barclays Premier League,2.43,0.73,80.25
18,18,Tottenham Hotspur,Barclays Premier League,2.33,0.67,80.19
19,19,Internazionale,Italy Serie A,2.24,0.62,80.06
20,20,Sevilla FC,Spanish Primera Division,2.14,0.62,78.74
21,21,FC Porto,Portuguese Liga,2.18,0.66,78.36
22,22,Leicester City,Barclays Premier League,2.01,0.55,78.33
23,23,Everton,Barclays Premier League,1.98,0.6,76.89
24,24,Benfica,Portuguese Liga,2.23,0.8,76.01
25,25,Zenit St Petersburg,Russian Premier Liga,2.05,0.68,76.01
26,26,Getafe,Spanish Primera Division,1.89,0.58,75.84
27,27,Real Sociedad,Spanish Primera Division,2.03,0.68,75.52
28,34,Flamengo,Brasileiro Série A,2.0,0.7,74.75
29,28,PSV,Dutch Eredivisie,2.39,0.97,74.68
30,29,Olympiacos,Greek Super League,2.18,0.84,74.26
31,30,Athletic Bilbao,Spanish Primera Division,1.76,0.56,74.06
